repeat,model,n_train,metric,contrast,value
1,lightgbm_multiclass,20,crps,tuned - fixed,0.0
1,lightgbm_multiclass,20,coverage,tuned - fixed,0.0
1,lightgbm_multiclass,20,mean_width,tuned - fixed,0.0
1,lightgbm_multiclass,20,mean_width_inclusive,tuned - fixed,0.0
1,lightgbm_multiclass,20,mean_q,tuned - fixed,0.0
1,lightgbm_multiclass,20,crps_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,20,coverage_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,20,mean_width_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,20,mean_width_inclusive_game_equal,tuned - fixed,0.0
1,ridge_sgd_l2,20,crps,tuned - fixed,-3.19824468966029e-06
1,ridge_sgd_l2,20,coverage,tuned - fixed,-0.011452202958485702
1,ridge_sgd_l2,20,mean_width,tuned - fixed,-2.685382535390488
1,ridge_sgd_l2,20,mean_width_inclusive,tuned - fixed,-2.685382535390488
1,ridge_sgd_l2,20,mean_q,tuned - fixed,0.31891204071894386
1,ridge_sgd_l2,20,crps_game_equal,tuned - fixed,1.1667094320788954e-05
1,ridge_sgd_l2,20,coverage_game_equal,tuned - fixed,-0.010972997643636129
1,ridge_sgd_l2,20,mean_width_game_equal,tuned - fixed,-2.6521701667448383
1,ridge_sgd_l2,20,mean_width_inclusive_game_equal,tuned - fixed,-2.6521701667448383
1,set_transformer,20,crps,tuned - fixed,-2.8633737923269495e-05
1,set_transformer,20,coverage,tuned - fixed,-0.0033402258628917325
1,set_transformer,20,mean_width,tuned - fixed,0.07316685223477037
1,set_transformer,20,mean_width_inclusive,tuned - fixed,0.07316685223477215
1,set_transformer,20,mean_q,tuned - fixed,-0.20216319389215842
1,set_transformer,20,crps_game_equal,tuned - fixed,-3.178203316932075e-05
1,set_transformer,20,coverage_game_equal,tuned - fixed,-0.0028706155126877464
1,set_transformer,20,mean_width_game_equal,tuned - fixed,0.08078136739936959
1,set_transformer,20,mean_width_inclusive_game_equal,tuned - fixed,0.08078136739937136
1,zoo_cnn,20,crps,tuned - fixed,-2.8874201420819173e-05
1,zoo_cnn,20,coverage,tuned - fixed,0.008907268967711102
1,zoo_cnn,20,mean_width,tuned - fixed,1.8465086686814054
1,zoo_cnn,20,mean_width_inclusive,tuned - fixed,1.8465086686814054
1,zoo_cnn,20,mean_q,tuned - fixed,-0.032288850007952785
1,zoo_cnn,20,crps_game_equal,tuned - fixed,-3.7571685728605975e-05
1,zoo_cnn,20,coverage_game_equal,tuned - fixed,0.009016901497521657
1,zoo_cnn,20,mean_width_game_equal,tuned - fixed,1.8634099633815566
1,zoo_cnn,20,mean_width_inclusive_game_equal,tuned - fixed,1.8634099633815566
1,lightgbm_multiclass,160,crps,tuned - fixed,0.0
1,lightgbm_multiclass,160,coverage,tuned - fixed,0.0
1,lightgbm_multiclass,160,mean_width,tuned - fixed,0.0
1,lightgbm_multiclass,160,mean_width_inclusive,tuned - fixed,0.0
1,lightgbm_multiclass,160,mean_q,tuned - fixed,0.0
1,lightgbm_multiclass,160,crps_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,160,coverage_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,160,mean_width_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
1,ridge_sgd_l2,160,crps,tuned - fixed,-0.0003155074595634997
1,ridge_sgd_l2,160,coverage,tuned - fixed,-0.009543502465404807
1,ridge_sgd_l2,160,mean_width,tuned - fixed,-2.8377604580881197
1,ridge_sgd_l2,160,mean_width_inclusive,tuned - fixed,-2.8377604580881197
1,ridge_sgd_l2,160,mean_q,tuned - fixed,-0.09018609829807539
1,ridge_sgd_l2,160,crps_game_equal,tuned - fixed,-0.0003100600588430598
1,ridge_sgd_l2,160,coverage_game_equal,tuned - fixed,-0.009517539890578242
1,ridge_sgd_l2,160,mean_width_game_equal,tuned - fixed,-2.813541219834459
1,ridge_sgd_l2,160,mean_width_inclusive_game_equal,tuned - fixed,-2.813541219834459
1,set_transformer,160,crps,tuned - fixed,-0.00021042729382161028
1,set_transformer,160,coverage,tuned - fixed,0.0012724669953873002
1,set_transformer,160,mean_width,tuned - fixed,-0.22363607443931954
1,set_transformer,160,mean_width_inclusive,tuned - fixed,-0.22363607443931954
1,set_transformer,160,mean_q,tuned - fixed,-0.23190710990933672
1,set_transformer,160,crps_game_equal,tuned - fixed,-0.0002059135618033281
1,set_transformer,160,coverage_game_equal,tuned - fixed,0.0006376597047446086
1,set_transformer,160,mean_width_game_equal,tuned - fixed,-0.22424010142047024
1,set_transformer,160,mean_width_inclusive_game_equal,tuned - fixed,-0.22424010142046846
1,zoo_cnn,160,crps,tuned - fixed,-4.271203390970868e-10
1,zoo_cnn,160,coverage,tuned - fixed,0.0
1,zoo_cnn,160,mean_width,tuned - fixed,0.0
1,zoo_cnn,160,mean_width_inclusive,tuned - fixed,0.0
1,zoo_cnn,160,mean_q,tuned - fixed,0.0
1,zoo_cnn,160,crps_game_equal,tuned - fixed,-6.50973604882088e-10
1,zoo_cnn,160,coverage_game_equal,tuned - fixed,0.0
1,zoo_cnn,160,mean_width_game_equal,tuned - fixed,0.0
1,zoo_cnn,160,mean_width_inclusive_game_equal,tuned - fixed,0.0
1,lightgbm_multiclass,360,crps,tuned - fixed,0.0
1,lightgbm_multiclass,360,coverage,tuned - fixed,0.0
1,lightgbm_multiclass,360,mean_width,tuned - fixed,0.0
1,lightgbm_multiclass,360,mean_width_inclusive,tuned - fixed,0.0
1,lightgbm_multiclass,360,mean_q,tuned - fixed,0.0
